 INFO  Accepting connections at http://localhost:3000
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 114 ms
 HTTP  05/01/2026 21:37:20 ::1 GET /favicon.ico?favicon.0b3bf435.ico
 HTTP  05/01/2026 21:37:20 ::1 Returned 200 in 2 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /
 HTTP  05/01/2026 21:41:49 ::1 Returned 200 in 2 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/media/797e433ab948586e-s.p.dbea232f.woff2
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 2 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/chunks/32f5be9773f80f56.css
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 1 ms
 HTTP  05/01/2026 21:41:49 ::1 Returned 200 in 1 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/media/weekly%20dashboard%20snapshot.5f05040e.png
 HTTP  05/01/2026 21:41:49 ::1 Returned 200 in 1 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/media/Sample%20planning%20model%20img.9f9e43cd.png
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/media/Dashboard%20examples.8e85f06e.png
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 2 ms
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 1 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/chunks/fd5f064b2a3f9309.js
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 1 ms
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/chunks/e4f32f5575cfb020.js
 HTTP  05/01/2026 21:41:49 ::1 GET /_next/static/chunks/b32a0963684b9933.js
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 2 ms
 HTTP  05/01/2026 21:41:49 ::1 Returned 304 in 2 ms
